Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,13,28.04,420,0.573
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,14,28.04,420,0.563
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,1,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,2,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,3,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,4,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,5,37.07,420,0.074
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,6,37.07,420,0.05
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,7,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,8,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,9,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,10,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,11,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,12,37.07,420,0
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,1,34.04,420,0.573
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,2,34.04,420,0.574
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,3,34.04,420,0.558
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,4,34.04,420,0.562
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,5,34.04,420,0.566
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,6,34.04,420,0.455
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,7,34.04,420,0.558
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,8,34.04,420,0.582
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,9,34.04,420,0.551
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,10,34.04,420,0.573
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,11,34.04,420,0.599
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,12,34.04,420,0.598
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,1,32.04,420,0.594
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,2,32.04,420,0.615
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,3,32.04,420,0.58
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,4,32.04,420,0.576
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,5,32.04,420,0.581
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,6,32.04,420,0.576
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,7,32.04,420,0.575
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,8,32.04,420,0.604
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,9,32.04,420,0.597
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,10,32.04,420,0.604
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,11,32.04,420,0.645
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,12,32.04,420,0.593
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,1,28.04,420,0.559
